Animal Number	Treatment	Ab	Ag	Protein	IL-1a	IL-1B	IL-2	IL-3	IL-4	IL-5	IL-6	IL-9	IL-10	IL-12 (p40)	IL-12 (p70)	IL-13	IL-17	Eotaxin	G-CSF	GM-CSF	IFN-g	KC	MCP-1	MIP-1a	MIP-1b	RANTES	TNF-a
C01	Control	No Ab	No Ag	1.272	86.95	1324.84	6.13	27.67	49.53	12.11	31.29	8120.75	317.14	2911.64	950.94	610.38	26.89	2502.52	24.69	NA	571.23	60.38	1166.35	527.67	1016.51	7107.55	4424.53
C02	Control	No Ab	No Ag	1.937	120.08	2947.13	NA	23.85	45.33	17.45	18.69	NA	132.78	3217.35	911.72	336.09	15.90	1791.74	280.12	17.24	319.67	438.51	4201.55	560.14	699.95	11028.19	2250.39
C03	Control	No Ab	No Ag	1.303	180.97	1367.31	43.75	24.25	38.37	3.22	94.09	14380.66	240.52	1997.39	852.80	859.25	20.87	8804.91	21.95	80.89	986.95	114.81	1324.48	597.54	586.49	6234.38	4955.03
C04	Control	No Ab	No Ag	1.142	97.90	1348.86	13.84	31.17	55.87	19.44	38.35	10284.24	329.42	2991.42	1164.27	766.20	28.02	2533.80	27.15	14.54	937.13	66.20	1395.10	593.17	1083.19	7698.60	4674.61
C05	Control	No Ab	No Ag	1.378	86.07	1670.54	NA	25.54	49.93	13.21	18.14	NA	157.62	4205.22	812.19	384.33	17.85	1018.72	24.24	38.75	327.72	50.65	1414.22	678.96	588.24	6120.03	2946.59
C06	Control	No Ab	No Ag	1.207	154.27	1538.19	40.60	24.86	42.75	7.29	116.98	15465.78	211.10	1560.23	882.35	971.83	19.88	11853.19	22.87	111.52	2258.66	136.70	1157.25	549.96	465.12	5581.94	5000.83
C07	Control	No Ab	No Ag	1.302	93.55	1378.65	12.60	31.64	49.62	24.58	46.24	9128.88	307.68	2799.23	1358.99	758.22	26.11	6571.58	27.96	53.76	1258.37	65.90	1563.59	519.97	791.09	7190.94	4909.37
C08	Control	No Ab	No Ag	1.274	100.47	1205.81	25.43	20.41	35.48	6.91	67.03	12048.82	173.00	1155.10	582.73	792.78	18.37	8902.20	17.74	NA	963.11	97.02	962.17	408.16	341.92	3697.33	3806.91
C09	Control	No Ab	No Ag	1.075	114.42	1585.30	12.28	36.09	69.40	22.51	44.28	11357.21	279.44	3404.09	1245.58	823.63	27.91	1448.37	30.88	NA	885.77	71.63	1909.77	632.56	1206.88	8874.05	5946.05
C10	Control	No Ab	No Ag	1.236	95.31	1384.95	13.27	28.80	53.72	17.15	32.04	8616.02	322.01	2979.45	1126.54	716.34	27.35	2923.62	23.30	NA	861.33	63.92	1347.57	566.50	930.26	7396.60	4553.40
Ag10 11	Ag10	No Ab	With Ag	1.123	104.36	1347.82	4.10	39.00	66.07	33.66	39.72	11540.87	390.74	3619.95	1248.26	763.67	30.10	11240.61	36.87	94.75	823.15	58.59	1657.35	721.99	1014.07	9019.23	4882.81
Ag10 12	Ag10	No Ab	With Ag	1.16	118.28	1000.00	17.59	21.38	42.59	7.59	50.34	10983.28	206.90	1782.41	701.21	752.24	21.55	7456.03	19.31	NA	651.21	80.69	1204.14	549.14	480.69	6046.72	4469.83
Ag10 13	Ag10	No Ab	With Ag	1.197	91.40	1184.13	3.84	39.26	61.65	20.89	37.59	10719.30	357.56	3308.60	1129.16	707.77	28.40	6924.98	27.23	70.18	693.73	48.79	1628.07	624.39	945.70	9064.66	5419.21
Ag10 14	Ag10	No Ab	With Ag	1.147	131.65	1112.12	19.35	28.60	51.26	13.43	57.54	13433.13	236.97	1981.17	741.41	994.94	25.81	9657.89	21.27	85.61	699.74	85.61	1298.87	640.98	630.17	6366.00	4353.97
Ag10 15	Ag10	No Ab	With Ag	1.263	91.84	1255.90	4.43	38.32	63.18	19.16	39.11	11173.40	353.92	3370.23	1124.94	744.42	26.76	7300.87	30.88	119.40	887.89	52.10	1515.44	638.32	808.55	7880.29	4910.69
Ag10 16	Ag10	No Ab	With Ag	1.13	136.28	1167.26	25.66	25.31	53.63	24.78	63.19	15945.66	266.55	1916.99	777.70	957.35	25.49	10731.33	20.35	128.50	828.32	84.07	1383.36	605.49	569.38	6384.42	5589.91
Ag10 17	Ag10	No Ab	With Ag	1.002	100.80	1294.81	2.79	38.32	66.67	19.16	42.51	11237.92	289.02	3751.10	1280.64	813.97	30.34	6658.08	33.13	NA	861.68	50.70	1608.18	721.56	1045.71	9550.70	5808.58
Ag10 18	Ag10	No Ab	With Ag	1.221	96.31	1342.83	6.72	38.82	64.70	25.39	39.80	11845.37	370.68	3401.47	1351.35	736.45	30.14	7225.72	30.63	146.93	1092.22	55.86	1653.07	703.52	890.75	8683.87	5235.05
Ag10 19	Ag10	No Ab	With Ag	1.221	77.31	1001.80	0.49	28.83	56.35	14.91	27.68	5354.79	270.27	3002.29	955.94	560.85	23.26	NA	23.10	NA	498.44	39.48	1275.18	552.01	801.97	7379.69	4292.87
Ag10 20	Ag10	No Ab	With Ag	1.176	80.10	1016.84	2.55	31.97	56.80	13.78	30.61	8406.46	264.63	3115.31	1051.87	582.31	26.53	1709.18	25.68	NA	562.93	43.20	1462.07	639.29	857.14	8792.35	4167.18
Ag50 21	Ag50	No Ab	With Ag	1.249	149.40	1060.37	43.07	20.50	33.95	10.57	78.62	15133.71	156.77	1507.77	719.62	861.65	20.50	10330.66	17.45	41.31	1405.60	82.31	1057.97	513.37	390.39	6415.21	6456.37
Ag50 22	Ag50	No Ab	With Ag	1.229	89.99	1567.62	10.09	29.45	51.26	15.62	93.08	11799.67	266.40	2835.80	1171.52	838.41	21.48	6308.38	29.13	2.60	1066.40	46.05	1399.02	580.96	984.70	6811.88	9144.18
Ag50 23	Ag50	No Ab	With Ag	1.279	127.60	1035.50	42.06	21.74	37.53	5.16	87.88	15700.55	210.63	1146.05	569.35	1030.81	18.76	12168.41	21.11	82.41	1098.36	81.16	1048.01	449.57	339.17	4831.43	5626.43
Ag50 24	Ag50	No Ab	With Ag	1.168	96.06	1809.25	12.33	36.82	58.56	19.86	104.28	12547.09	368.66	3542.98	1328.77	1004.28	27.05	8008.22	27.40	70.72	1352.05	55.65	1668.49	682.36	969.18	7098.97	10791.44
Ag50 25	Ag50	No Ab	With Ag	1.282	144.31	1053.98	40.09	22.31	39.63	3.28	80.19	14652.89	198.75	1522.46	674.41	939.78	20.44	10564.74	20.75	109.98	1369.42	80.19	1147.74	517.47	365.99	6086.12	6643.06
Ag50 26	Ag50	No Ab	With Ag	1.277	100.70	1739.08	11.59	32.58	51.06	12.06	91.62	13231.48	339.39	3240.56	1274.08	873.45	25.37	6595.77	27.09	69.38	1112.61	52.15	1566.95	642.13	928.43	6289.90	9870.32
Ag50 27	Ag50	No Ab	With Ag	1.276	96.87	1650.31	10.19	34.01	56.74	25.08	100.31	12735.58	262.85	3349.37	1206.27	815.36	25.86	9486.68	27.43	85.74	1274.76	50.16	1676.33	627.12	1142.16	6715.83	9396.24
Ag50 28	Ag50	No Ab	With Ag	1.195	157.32	1224.27	40.84	23.43	43.68	9.21	86.03	16127.20	243.85	2005.86	857.57	1047.36	22.43	11760.17	21.26	NA	1296.40	89.54	1369.04	613.39	497.24	6504.44	7540.42
Ag50 29	Ag50	No Ab	With Ag	1.194	101.84	1651.26	6.87	36.01	57.62	20.94	92.29	12744.05	319.60	3746.40	1179.40	871.36	25.46	5814.91	28.81	46.06	1204.69	57.79	1834.51	664.99	1129.98	6864.32	9597.82
Ag50 30	Ag50	No Ab	With Ag	1.261	78.19	1342.43	6.19	27.44	45.36	16.02	81.68	9499.60	223.16	2828.55	976.21	699.44	21.09	5934.81	20.94	27.91	911.82	42.19	1320.86	510.23	639.33	6306.58	8876.92
Ab 31	Control	With Ab	No Ag	1.018	99.21	1186.25	2.95	35.36	56.58	23.77	45.58	NA	135.17	3300.59	1026.52	650.69	24.75	30564.83	25.93	79.57	650.29	59.33	1162.08	683.10	1208.45	6991.75	6557.76
Ab 32	Control	With Ab	No Ag	1.028	156.42	1539.88	48.05	41.83	50.19	5.25	155.64	10693.39	190.47	2196.69	1182.30	938.72	115.18	19304.67	23.74	11.48	1032.30	110.12	922.18	682.49	694.36	7110.89	6551.36
Ab 33	Control	With Ab	No Ag	0.973	97.84	1456.73	3.08	38.03	63.10	20.76	46.87	NA	264.34	3624.87	981.50	888.59	29.60	27497.23	30.22	101.95	927.24	68.45	1136.28	732.99	1065.36	7051.39	6471.94
Ab 34	Control	With Ab	No Ag	1.077	94.89	1341.13	4.27	31.57	61.65	22.47	45.50	NA	216.53	3270.94	1011.51	697.31	23.77	31897.31	25.07	77.99	765.83	56.64	1274.28	644.57	1242.15	6902.14	5935.00
Ab 35	Control	With Ab	No Ag	0.979	103.17	1420.22	3.06	39.43	56.18	12.67	48.83	NA	224.51	3444.94	1064.56	854.55	24.31	29438.41	25.33	38.00	876.40	60.67	1069.46	758.94	1442.49	7918.28	6286.62
Ab 36	Control	With Ab	No Ag	1.059	94.62	1342.02	1.70	35.51	56.28	19.07	44.38	NA	200.00	3298.96	978.47	819.83	27.76	27557.70	25.50	115.39	899.15	60.81	1189.24	677.43	1035.51	6645.70	6303.87
Ab 37	Control	With Ab	No Ag	1.024	93.55	1154.49	8.59	22.46	42.97	NA	63.28	NA	162.30	1486.91	669.92	653.91	24.02	15563.67	20.70	114.26	650.78	99.61	865.43	596.68	506.84	5995.12	3203.71
Ab 38	Control	With Ab	No Ag	1.015	103.65	1400.20	2.17	34.88	65.02	13.20	49.85	NA	256.16	3425.42	1108.37	803.55	24.63	32902.86	27.39	27.00	758.82	64.63	1278.23	669.56	1289.26	7111.92	6250.84
Ab 39	Control	With Ab	No Ag	1.024	96.29	1176.17	10.74	24.02	41.41	2.93	51.95	NA	159.96	1511.33	628.52	622.07	20.90	16890.43	22.85	135.74	646.29	95.12	804.10	576.95	528.52	6059.57	3641.80
Ab 40	Control	With Ab	No Ag	1.047	80.80	1104.49	0.38	26.74	53.49	12.80	39.35	NA	159.12	3246.99	857.69	636.10	21.39	23334.48	25.60	NA	505.64	54.06	1055.97	624.07	1108.88	6291.31	5006.30
AbAg10 41	Ag10	With Ab	With Ag	1.041	104.51	1214.79	1.34	26.71	57.83	NA	20.37	NA	166.76	2292.41	634.58	534.10	23.82	7234.39	18.83	NA	403.07	105.28	1064.94	805.19	621.52	8228.05	2811.53
AbAg10 42	Ag10	With Ab	With Ag	1.046	59.27	869.79	NA	30.98	57.93	6.12	19.31	NA	154.30	3731.36	974.00	363.48	22.56	89.48	25.62	NA	378.01	49.14	1094.07	701.53	779.16	10094.26	3593.69
AbAg10 43	Ag10	With Ab	With Ag	1.08	76.85	1096.30	NA	30.00	66.30	15.93	21.85	NA	176.48	4151.85	984.07	512.78	25.19	5798.52	28.33	NA	480.56	57.22	1305.37	736.85	833.52	9838.70	3990.19
AbAg10 44	Ag10	With Ab	With Ag	1.018	85.46	920.43	0.20	17.68	44.40	NA	19.06	NA	109.63	1998.82	505.50	432.61	23.58	4035.17	16.50	NA	282.32	94.70	681.93	661.49	513.56	8229.67	1852.85
AbAg10 45	Ag10	With Ab	With Ag	1.023	80.74	1165.00	NA	39.88	74.88	24.44	24.83	NA	204.50	4402.35	1191.20	572.24	27.37	11578.89	28.15	68.43	636.56	63.34	1539.78	853.37	950.73	10067.64	4261.00
AbAg10 46	Ag10	With Ab	With Ag	1.023	95.60	1182.60	1.17	24.24	55.33	NA	21.31	NA	167.35	2258.46	711.83	522.97	25.42	7499.90	20.33	40.66	423.46	100.49	1198.24	774.98	582.60	8494.82	2861.00
AbAg10 47	Ag10	With Ab	With Ag	1.069	56.88	898.41	NA	13.66	38.91	NA	15.90	NA	66.98	1508.51	335.45	338.63	17.21	3693.73	14.03	NA	153.98	77.46	730.40	506.08	431.99	6150.80	2061.74
AbAg10 48	Ag10	With Ab	With Ag	1.007	80.44	1140.62	NA	39.32	63.75	12.31	24.63	NA	173.39	3981.73	1292.75	489.18	27.41	1085.40	25.42	NA	438.13	60.97	1546.18	772.99	1000.99	11392.65	4720.56
