Mouse	Silver	Antibiotics	WBC	RBC	HGB	HCT	MCV	MCH	MCHC	RDW	PLT 	MPV	NEpct	LYpct	MOpct	EOpct	BApct	NE	LY	MO	EO	BA
C 01	Control	No Ab	6.2	8.88	134	0.414	47	15	322	12.7	1114	7.5	18	80.7	1	0.1	0.2	1.1	4.94	0.06	0	0.02
C 03	Control	No Ab	6.2	5.58	86	0.26	47	15.5	333	12.1	536	4.9	2.45	72.8	2.1	0.4	0.2	1.52	4.52	0.14	0.02	0.02
C 04	Control	No Ab	2.2	4.24	62	0.192	45	14.6	323	14.1	572	5	36.9	60.1	2.2	0.6	0.2	0.82	1.34	0.04	0.02	0
C 05	Control	No Ab	4.8	7.6	112	0.344	45	14.7	324	14.6	1102	4.9	35.9	58.8	3.7	1.5	0.1	1.7	2.8	0.18	0.08	0
C 06	Control	No Ab	5.2	4.5	68	0.2	45	14.9	335	12.4	562	4.9	21.9	75.4	1.2	1.3	0.2	1.14	3.9	0.06	0.06	0.02
C 07	Control	No Ab	8.4	4.4	66	0.204	46	1.49	321	12.3	600	7	21.9	74.9	1.6	1.3	0.3	1.84	6.3	0.14	0.1	0.02
C 08	Control	No Ab	7	10.92	162	0.506	46	14.8	319	13	1044	5	20.3	77.6	1	0.9	0.2	1.44	5.48	0.08	0.06	0.02
C 09	Control	No Ab	5.2	3.44	52	0.154	45	15.1	338	13.6	54	5.7	25.2	68.6	3.6	2.1	0.5	1.3	3.54	0.18	0.1	0.02
C 10	Control	No Ab	11	2.4	36	0.106	45	0	0	13.2	422	7.3	25.2	70.7	3.4	0.6	0.1	2.76	7.76	0.38	0.06	0.02
Ag10 11	Ag10	No Ab	5.8	5.42	84	0.25	46	15.4	335	12.7	654	4.7	22.4	76.3	1.1	0.1	0.1	1.3	4.4	0.06	0	0
Ag10 12	Ag10	No Ab	0.4	1.62	26	0.074	45	0	0	12.7	26	17.9	23.6	61.3	2.1	4.7	8.3	0.1	0.28	0	0.02	0.04
